, where, what, value
417, GPU1.SA_05.CU_03, cu_rb_read_vectorial, 0.000000000000
418, GPU1.SA_05.CU_03, cu_rb_write_vectorial, 0.000000000000
419, GPU1.SA_06.CU_00, cu_rb_read_scalar, 0.000000000000
420, GPU1.SA_06.CU_00, cu_rb_write_scalar, 0.000000000000
421, GPU1.SA_06.CU_00, cu_rb_read_vectorial, 0.000000000000
422, GPU1.SA_06.CU_00, cu_rb_write_vectorial, 0.000000000000
423, GPU1.SA_06.CU_01, cu_rb_read_scalar, 0.000000000000
424, GPU1.SA_06.CU_01, cu_rb_write_scalar, 0.000000000000
425, GPU1.SA_06.CU_01, cu_rb_read_vectorial, 0.000000000000
426, GPU1.SA_06.CU_01, cu_rb_write_vectorial, 0.000000000000
